mjd,flux,flux err
55730.2137153,0.5427539,0.0081546
55734.1999074,0.5639600,0.0121111
55740.1815741,0.5556929,0.0191808
55743.1928356,0.5451019,0.0144225
55753.1637500,0.5012965,0.0099710
55786.0317477,0.5411186,0.0296880
55789.0274306,0.5356703,0.0163922
55802.0050694,0.5360030,0.0108725
55805.9889699,0.5527428,0.0104234
55822.9439236,0.5357205,0.0087157
55829.9295255,0.5390825,0.0104006
55843.9335995,0.5142186,0.0289253
55847.9168866,0.5330700,0.0167665
55850.8951736,0.5207142,0.0148241
55853.8952778,0.5259481,0.0099410
55854.8462731,0.5356259,0.0256481
55861.8343634,0.5073558,0.0187736
55864.8223611,0.5054878,0.0072590
55871.8080556,0.5078843,0.0080489
55875.8014120,0.5187668,0.0176885
55878.7846181,0.5090716,0.0092131
55882.7894907,0.5085313,0.0218357
55892.7489583,0.5047758,0.0092346
55906.7237384,0.5236668,0.0455988
55921.7995139,0.4989854,0.0082618
55925.7946528,0.5250112,0.0259089
55927.6611921,0.5209636,0.0126765
55932.7821528,0.5046322,0.0192476
55938.6207523,0.5216366,0.0112124
55941.6508102,0.5097803,0.0163229
55945.6026389,0.5192439,0.0119847
55952.5885532,0.5141724,0.0237984
55955.6128472,0.5162758,0.0074622
55965.5397106,0.5209519,0.0110863
55974.5123727,0.5209659,0.0106085
55977.5526968,0.5084423,0.0193814
55982.4806250,0.5185688,0.0125316
55985.5153588,0.5207101,0.0165883
55989.4748380,0.5163316,0.0182326
55996.4568519,0.5151729,0.0131179
55999.4823727,0.5193207,0.0140281
56006.4385880,0.5138041,0.0173313
56013.4213773,0.5113390,0.0306744
56015.4053704,0.5107251,0.0091746
56017.4006481,0.5048647,0.0251327
56020.4319907,0.5194648,0.0178896
56024.3779630,0.5056242,0.0099821
56027.4134144,0.5246606,0.0173860
56034.3883565,0.5216016,0.0117162
56036.3511690,0.5073336,0.0076223
56038.3233333,0.5132725,0.0357501
56041.3710301,0.5088700,0.0079061
56045.3668171,0.5054293,0.0206210
56047.2351852,0.5126942,0.0218945
56056.4207407,0.5173365,0.0081122
56060.3087847,0.5226785,0.0184382
56061.2210417,0.5270726,0.0104331
56092.2495023,0.5238336,0.0206425
