Date,Price
2014-12-31,111.0428
2015-01-07,112.1365
2015-01-14,111.9845
2015-01-21,112.236
2015-01-28,113.1213
2015-02-04,113.9616
2015-02-11,113.9969
2015-02-18,113.8738
2015-02-25,114.1924
2015-03-04,114.5807
2015-03-11,116.7227
2015-03-18,117.3186
2015-03-25,115.587
2015-04-01,115.7153
2015-04-08,114.8357
2015-04-15,115.8515
2015-04-22,115.0322
2015-04-29,114.0987
2015-05-06,113.9398
2015-05-13,113.6016
2015-05-20,113.4085
2015-05-27,114.8517
2015-06-03,115.3653
2015-06-10,115.2334
2015-06-17,114.7911
2015-06-24,114.4044
2015-07-01,115.2819
2015-07-08,116.0982
2015-07-15,116.3465
2015-07-22,117.3099
2015-07-29,117.5874
2015-08-05,118.1833
2015-08-12,118.5509
2015-08-19,119.3603
2015-08-26,119.5053
2015-09-02,119.7453
2015-09-09,120.0819
2015-09-16,119.6719
2015-09-23,119.8436
2015-09-30,120.577
2015-10-07,119.549
2015-10-14,118.3632
2015-10-21,118.2769
2015-10-28,119.3245
2015-11-04,119.4713
2015-11-11,120.6608
2015-11-18,121.2775
2015-11-25,120.9245
2015-12-02,121.3683
2015-12-09,121.2116
2015-12-16,121.9737
2015-12-23,122.6148
2015-12-30,122.4385
2016-01-06,123.4137
2016-01-13,124.4402
2016-01-20,125.2201
2016-01-27,125.1658
2016-02-03,124.6691
2016-02-10,123.5452
2016-02-17,123.5622
2016-02-24,123.2841
2016-03-02,123.3477
2016-03-09,121.9808
2016-03-16,121.5925
2016-03-23,119.9748
2016-03-30,120.5275
2016-04-06,119.5661
2016-04-13,119.3618
2016-04-20,118.9284
2016-04-27,119.1796
2016-05-04,118.3879
2016-05-11,119.7692
2016-05-18,120.4156
2016-05-25,121.5983
2016-06-01,121.6009
2016-06-08,120.5667
2016-06-15,120.7217
2016-06-22,120.6111
2016-06-29,121.2906
2016-07-06,121.4079
2016-07-13,121.5457
2016-07-20,121.5585
2016-07-27,122.2401
2016-08-03,121.2247
2016-08-10,121.013
2016-08-17,119.9971
2016-08-24,120.0144
2016-08-31,120.9785
2016-09-07,120.7425
2016-09-14,121.3003
2016-09-21,122.1517
2016-09-28,121.7343
2016-10-05,121.6463
2016-10-12,122.5
2016-10-19,122.5943
